,Day,Month,L,M,S
0,0,0,1,49.8842,0.03795
1,30,1,1,54.6645,0.03559
2,60,2,1,58.3299,0.03427
3,90,3,1,61.3115,0.03331
4,120,4,1,63.758,0.03261
5,150,5,1,65.769,0.03207
6,180,6,1,67.4836,0.03168
7,210,7,1,69.0152,0.03141
8,240,8,1,70.4382,0.03125
9,270,9,1,71.7947,0.03118
10,300,10,1,73.096,0.03118
11,330,11,1,74.3433,0.03124
12,360,12,1,75.5431,0.03135
13,390,13,1,76.703,0.03151
14,420,14,1,77.8251,0.0317
15,450,15,1,78.9122,0.03192
16,480,16,1,79.9688,0.03216
17,510,17,1,80.9978,0.03243
18,540,18,1,82.0,0.03271
19,570,19,1,82.9759,0.03301
20,600,20,1,83.9267,0.03333
21,630,21,1,84.8549,0.03365
22,660,22,1,85.7613,0.03399
23,690,23,1,86.6477,0.03433
24,720,24,1,87.5162,0.03467
25,750,25,1,87.6668,0.0353
26,780,26,1,88.4972,0.03564
27,810,27,1,89.3066,0.03597
28,840,28,1,90.0957,0.03629
29,870,29,1,90.8641,0.03661
30,900,30,1,91.6118,0.03691
31,930,31,1,92.34,0.0372
32,960,32,1,93.0499,0.03748
33,990,33,1,93.7429,0.03775
34,1020,34,1,94.4214,0.038
35,1050,35,1,95.0877,0.03824
36,1080,36,1,95.7433,0.03847
37,1110,37,1,96.3891,0.03868
38,1140,38,1,97.0258,0.03889
39,1170,39,1,97.6539,0.03908
40,1200,40,1,98.2735,0.03927
41,1230,41,1,98.8846,0.03944
42,1260,42,1,99.487,0.03961
43,1290,43,1,100.0805,0.03977
44,1320,44,1,100.6659,0.03992
45,1350,45,1,101.2435,0.04007
46,1380,46,1,101.814,0.04021
47,1410,47,1,102.3785,0.04036
48,1440,48,1,102.938,0.0405
49,1470,49,1,103.4936,0.04063
50,1500,50,1,104.046,0.04077
51,1530,51,1,104.5961,0.0409
52,1560,52,1,105.1445,0.04103
53,1590,53,1,105.6917,0.04116
54,1620,54,1,106.2377,0.04129
55,1650,55,1,106.7825,0.04142
56,1680,56,1,107.3263,0.04154
57,1710,57,1,107.8692,0.04167
58,1740,58,1,108.4112,0.04179
59,1770,59,1,108.9522,0.04192
60,1800,60,1,109.4923,0.04204
61,1830,61,1,110.0311,0.04216
