,Day,Month,L,M,S
0,0,0,1,49.1477,0.0379
1,30,1,1,53.6326,0.03641
2,60,2,1,56.9805,0.0357
3,90,3,1,59.6952,0.03521
4,120,4,1,61.9686,0.03487
5,150,5,1,63.9,0.03464
6,180,6,1,65.5911,0.03449
7,210,7,1,67.1355,0.03441
8,240,8,1,68.5855,0.0344
9,270,9,1,69.9666,0.03443
10,300,10,1,71.2926,0.03451
11,330,11,1,72.5702,0.03462
12,360,12,1,73.8034,0.03476
13,390,13,1,74.9959,0.03493
14,420,14,1,76.1504,0.03511
15,450,15,1,77.2695,0.0353
16,480,16,1,78.3563,0.0355
17,510,17,1,79.4134,0.03571
18,540,18,1,80.4423,0.03592
19,570,19,1,81.4448,0.03614
20,600,20,1,82.4228,0.03636
21,630,21,1,83.3775,0.03659
22,660,22,1,84.3096,0.03681
23,690,23,1,85.2197,0.03704
24,720,24,1,86.1089,0.03726
25,750,25,1,86.2782,0.03778
26,780,26,1,87.1286,0.038
27,810,27,1,87.9605,0.03821
28,840,28,1,88.7737,0.03843
29,870,29,1,89.5684,0.03864
30,900,30,1,90.3453,0.03884
31,930,31,1,91.105,0.03904
32,960,32,1,91.8486,0.03924
33,990,33,1,92.5777,0.03943
34,1020,34,1,93.2938,0.03961
35,1050,35,1,93.998,0.0398
36,1080,36,1,94.6914,0.03997
37,1110,37,1,95.375,0.04015
38,1140,38,1,96.0491,0.04032
39,1170,39,1,96.7141,0.04048
40,1200,40,1,97.3704,0.04064
41,1230,41,1,98.0182,0.0408
42,1260,42,1,98.6575,0.04095
43,1290,43,1,99.2882,0.04111
44,1320,44,1,99.9107,0.04126
45,1350,45,1,100.525,0.0414
46,1380,46,1,101.1313,0.04155
47,1410,47,1,101.7299,0.04169
48,1440,48,1,102.3212,0.04183
49,1470,49,1,102.9059,0.04197
50,1500,50,1,103.4842,0.0421
51,1530,51,1,104.0565,0.04224
52,1560,52,1,104.6233,0.04237
53,1590,53,1,105.1846,0.0425
54,1620,54,1,105.7406,0.04262
55,1650,55,1,106.2915,0.04275
56,1680,56,1,106.8371,0.04287
57,1710,57,1,107.3775,0.043
58,1740,58,1,107.9127,0.04312
59,1770,59,1,108.4427,0.04324
60,1800,60,1,108.9678,0.04336
61,1830,61,1,109.488,0.04348
