,Day,Month,L,M,S
0,0,0,0.3487,3.3464,0.14602
1,30,1,0.2303,4.4525,0.13413
2,60,2,0.1978,5.5407,0.12409
3,90,3,0.1747,6.3457,0.1175
4,120,4,0.1563,6.9699,0.11334
5,150,5,0.1406,7.4772,0.11092
6,180,6,0.1269,7.9002,0.10965
7,210,7,0.1145,8.2627,0.10906
8,240,8,0.1033,8.5804,0.10883
9,270,9,0.093,8.8658,0.1088
10,300,10,0.0834,9.1282,0.10889
11,330,11,0.0744,9.3739,0.10903
12,360,12,0.0659,9.6079,0.10922
13,390,13,0.0578,9.833,0.10944
14,420,14,0.0502,10.0514,0.10971
15,450,15,0.0429,10.2647,0.11
16,480,16,0.0359,10.4743,0.11033
17,510,17,0.0292,10.6811,0.11069
18,540,18,0.0227,10.8852,0.11108
19,570,19,0.0165,11.0873,0.11151
20,600,20,0.0105,11.2878,0.11197
21,630,21,0.0046,11.4876,0.11246
22,660,22,-0.001,11.6866,0.11297
23,690,23,-0.0065,11.885,0.11351
24,720,24,-0.0118,12.0826,0.11406
25,750,25,-0.017,12.279,0.11464
26,780,26,-0.0221,12.4735,0.11522
27,810,27,-0.027,12.6654,0.11581
28,840,28,-0.0318,12.8542,0.1164
29,870,29,-0.0365,13.0396,0.11698
30,900,30,-0.0411,13.2215,0.11756
31,930,31,-0.0456,13.4001,0.11813
32,960,32,-0.05,13.5757,0.1187
33,990,33,-0.0543,13.7486,0.11926
34,1020,34,-0.0586,13.9192,0.11981
35,1050,35,-0.0627,14.088,0.12035
36,1080,36,-0.0668,14.2554,0.12088
37,1110,37,-0.0708,14.4218,0.12141
38,1140,38,-0.0747,14.5875,0.12192
39,1170,39,-0.0786,14.7527,0.12243
40,1200,40,-0.0824,14.9177,0.12293
41,1230,41,-0.0861,15.0827,0.12343
42,1260,42,-0.0898,15.2476,0.12394
43,1290,43,-0.0934,15.4125,0.12445
44,1320,44,-0.097,15.5772,0.12497
45,1350,45,-0.1005,15.7418,0.12551
46,1380,46,-0.104,15.9061,0.12605
47,1410,47,-0.1074,16.0703,0.12661
48,1440,48,-0.1108,16.2343,0.12718
49,1470,49,-0.1141,16.3981,0.12777
50,1500,50,-0.1174,16.5618,0.12836
51,1530,51,-0.1206,16.7254,0.12897
52,1560,52,-0.1238,16.8891,0.12958
53,1590,53,-0.127,17.0527,0.1302
54,1620,54,-0.1301,17.2164,0.13083
55,1650,55,-0.1332,17.38,0.13146
56,1680,56,-0.1362,17.5434,0.13209
57,1710,57,-0.1393,17.7067,0.13272
58,1740,58,-0.1422,17.8697,0.13336
59,1770,59,-0.1452,18.0324,0.13399
60,1800,60,-0.1481,18.1948,0.13462
61,1830,61,-0.151,18.3568,0.13525
