,Day,Month,L,M,S
0,0,0,0.3809,3.2322,0.14171
1,30,1,0.1727,4.1716,0.13738
2,60,2,0.098,5.1049,0.13015
3,90,3,0.0424,5.8181,0.12631
4,120,4,-0.0026,6.3935,0.12412
5,150,5,-0.0404,6.8673,0.12281
6,180,6,-0.0729,7.265,0.12208
7,210,7,-0.1012,7.6094,0.12179
8,240,8,-0.1261,7.9151,0.12179
9,270,9,-0.148,8.191,0.12196
10,300,10,-0.1674,8.4445,0.12219
11,330,11,-0.1846,8.6822,0.12243
12,360,12,-0.1999,8.9092,0.12264
13,390,13,-0.2134,9.1289,0.12281
14,420,14,-0.2255,9.3436,0.12292
15,450,15,-0.2362,9.5549,0.12298
16,480,16,-0.2458,9.7638,0.12302
17,510,17,-0.2543,9.9713,0.12305
18,540,18,-0.2618,10.1776,0.12308
19,570,19,-0.2686,10.3827,0.12313
20,600,20,-0.2746,10.5869,0.12321
21,630,21,-0.2799,10.7909,0.12331
22,660,22,-0.2847,10.9951,0.12345
23,690,23,-0.289,11.2,0.12362
24,720,24,-0.2928,11.4055,0.12382
25,750,25,-0.2963,11.6113,0.12405
26,780,26,-0.2994,11.817,0.1243
27,810,27,-0.3022,12.0215,0.12459
28,840,28,-0.3048,12.224,0.12492
29,870,29,-0.3071,12.4237,0.12528
30,900,30,-0.3092,12.6204,0.12568
31,930,31,-0.3112,12.814,0.12612
32,960,32,-0.313,13.0048,0.1266
33,990,33,-0.3147,13.1934,0.12711
34,1020,34,-0.3163,13.3806,0.12765
35,1050,35,-0.3179,13.5669,0.12823
36,1080,36,-0.3194,13.7528,0.12885
37,1110,37,-0.3208,13.9384,0.12951
38,1140,38,-0.3222,14.1238,0.1302
39,1170,39,-0.3236,14.3089,0.13092
40,1200,40,-0.3249,14.4936,0.13167
41,1230,41,-0.3262,14.6776,0.13246
42,1260,42,-0.3275,14.8609,0.13326
43,1290,43,-0.3288,15.0433,0.13408
44,1320,44,-0.3301,15.2249,0.13491
45,1350,45,-0.3314,15.4057,0.13575
46,1380,46,-0.3327,15.5859,0.13659
47,1410,47,-0.3339,15.7654,0.13743
48,1440,48,-0.3352,15.9445,0.13826
49,1470,49,-0.3365,16.1234,0.13909
50,1500,50,-0.3378,16.302,0.13991
51,1530,51,-0.3391,16.4806,0.14073
52,1560,52,-0.3404,16.659,0.14153
53,1590,53,-0.3417,16.8372,0.14232
54,1620,54,-0.343,17.0152,0.1431
55,1650,55,-0.3443,17.1927,0.14387
56,1680,56,-0.3456,17.3697,0.14463
57,1710,57,-0.3469,17.5459,0.14539
58,1740,58,-0.3482,17.7211,0.14613
59,1770,59,-0.3494,17.8954,0.14686
60,1800,60,-0.3507,18.0686,0.14759
61,1830,61,-0.352,18.2408,0.1483
